id,name,yearpublished,rank,bayesaverage,average,usersrated,is_expansion,abstracts_rank,cgs_rank,childrensgames_rank,familygames_rank,partygames_rank,strategygames_rank,thematic_rank,wargames_rank
224517,Brass: Birmingham,2018,1,8.39377,8.56453,58214,0,,,,,,1,,
342942,Ark Nova,2021,2,8.35516,8.54121,60737,0,,,,,,2,,
161936,Pandemic Legacy: Season 1,2015,3,8.34647,8.50287,57340,0,,,,,,3,1,
174430,Gloomhaven,2017,4,8.29788,8.53992,67084,0,,,,,,5,2,
397598,Dune: Imperium – Uprising,2023,5,8.23605,8.70153,18150,0,,,,,,4,,
316554,Dune: Imperium,2020,6,8.22294,8.41268,58188,0,,,,,,7,,
233078,Twilight Imperium: Fourth Edition,2017,7,8.21891,8.5644,28320,0,,,,,,6,4,
115746,War of the Ring: Second Edition,2011,8,8.1982,8.55182,25066,0,,,,,,,3,1
167791,Terraforming Mars,2016,9,8.18735,8.33817,112909,0,,,,,,8,,
187645,Star Wars: Rebellion,2016,10,8.16726,8.42187,36296,0,,,,,,,5,
162886,Spirit Island,2017,11,8.14274,8.34064,62875,0,,,,,,10,,
291457,Gloomhaven: Jaws of the Lion,2020,12,8.0968,8.36107,40992,0,,,,,,14,8,
220308,Gaia Project,2017,13,8.0882,8.352,31209,0,,,,,,9,,
12333,Twilight Struggle,2005,14,8.041,8.22975,51995,0,,,,,,17,,2
84876,The Castles of Burgundy,2011,15,8.03125,8.16066,69462,0,,,,,,16,,
418059,SETI: Search for Extraterrestrial Intelligence,2024,16,8.02722,8.41753,19274,0,,,,,,12,,
338960,Slay the Spire: The Board Game,2024,17,8.02502,8.64933,12624,0,,,,,,11,,
182028,Through the Ages: A New Story of Civilization,2015,18,8.01351,8.24774,34773,0,,,,,,15,,
421006,The Lord of the Rings: Duel for Middle-earth,2024,19,7.98059,8.35818,19563,0,,,,1,,20,,
193738,Great Western Trail,2016,20,7.97457,8.14944,43748,0,,,,,,21,,
295770,Frosthaven,2022,21,7.97114,8.73905,10117,0,,,,,,13,6,
28720,Brass: Lancashire,2007,22,7.96045,8.19844,27316,0,,,,,,19,,
246900,Eclipse: Second Dawn for the Galaxy,2020,23,7.95909,8.38843,17332,0,,,,,,18,,
173346,7 Wonders Duel,2015,24,7.9527,8.0775,108646,0,,,,,,28,,
167355,Nemesis,2018,25,7.95041,8.25006,37283,0,,,,,,,12,
169786,Scythe,2016,26,7.94562,8.10142,93162,0,,,,,,27,,
177736,A Feast for Odin,2016,27,7.941,8.16176,33389,0,,,,,,23,,
266507,Clank! Legacy: Acquisitions Incorporated,2019,28,7.93826,8.49758,11317,0,,,,,,,7,
124361,Concordia,2013,29,7.92554,8.07698,45434,0,,,,,,24,,
312484,Lost Ruins of Arnak,2020,30,7.91608,8.08226,56789,0,,,,,,29,,
341169,Great Western Trail: Second Edition,2021,31,7.9047,8.26405,17910,0,,,,,,22,,
205637,Arkham Horror: The Card Game,2016,32,7.89,8.11953,47657,0,,2,,,,,13,
373106,Sky Team,2023,33,7.88664,8.12094,31470,0,,,,3,,,14,
237182,Root,2018,34,7.8821,8.07141,63994,0,,,,,,37,,13
120677,Terra Mystica,2012,35,7.85977,8.03349,50940,0,,,,,,34,,
164928,Orléans,2014,36,7.85861,8.04727,35549,0,,,,,,33,,
192135,Too Many Bones,2017,37,7.85424,8.28792,17019,0,,,,,,31,11,
266192,Wingspan,2019,38,7.84666,7.99996,112576,0,,,,6,,48,,
96848,Mage Knight Board Game,2011,39,7.83835,8.08233,35127,0,,,,,,38,18,
251247,Barrage,2019,40,7.83668,8.13554,21656,0,,,,,,32,,
321608,Hegemony: Lead Your Class to Victory,2023,41,7.82296,8.3745,11994,0,,,,,,26,,
199792,Everdell,2018,42,7.80806,7.98242,68175,0,,,,9,,50,,
324856,The Crew: Mission Deep Sea,2021,43,7.80754,8.05083,25416,0,,,,4,,,,
183394,Viticulture Essential Edition,2015,44,7.80635,7.95862,55122,0,,,,,,46,,
284378,Kanban EV,2020,45,7.80551,8.38147,10228,0,,,,,,25,,
521,Crokinole,1876,46,7.79937,8.0666,21061,0,,,,7,,,,
366013,Heat: Pedal to the Metal,2022,47,7.79604,7.99848,40645,0,,,,8,,,,
285774,Marvel Champions: The Card Game,2019,48,7.78656,8.10414,27701,0,,3,,,,,,
175914,Food Chain Magnate,2015,49,7.77445,8.03824,23079,0,,,,,,42,,
247763,Underwater Cities,2018,50,7.77405,8.04153,22956,0,,,,,,40,,
390092,Ticket to Ride Legacy: Legends of the West,2023,51,7.77389,8.63936,6636,0,,,,2,,,,
365717,Clank!: Catacombs,2022,52,7.77089,8.22868,13808,0,,,,5,,39,,
256960,Pax Pamir: Second Edition,2019,53,7.76632,8.12712,17548,0,,,,,,41,,
253344,Cthulhu: Death May Die,2019,54,7.76116,8.18218,16831,0,,,,,,,15,
414317,Harmonies,2024,55,7.75414,8.03138,28876,0,1,,,10,,,,
383179,Age of Innovation,2023,56,7.75385,8.45552,8393,0,,,,,,30,,
3076,Puerto Rico,2002,57,7.75333,7.89917,74209,0,,,,,,55,,
184267,On Mars,2020,58,7.73932,8.15857,14899,0,,,,,,43,,
314040,Pandemic Legacy: Season 0,2020,59,7.7364,8.33785,9512,0,,,,,,35,10,
295947,Cascadia,2021,60,7.73623,7.89074,54933,0,,,,11,,,,
185343,Anachrony,2017,61,7.73239,8.04173,21490,0,,,,,,47,,
102794,Caverna: The Cave Farmers,2013,62,7.73109,7.92172,37260,0,,,,,,54,,
251661,Oathsworn: Into the Deepwood,2022,63,7.72717,8.76593,6808,0,,,,,,,9,
31260,Agricola,2007,64,7.72482,7.85781,76668,0,,,,,,62,,
170216,Blood Rage,2015,65,7.72299,7.89837,51743,0,,,,,,65,,
231733,Obsession,2018,66,7.71949,8.08078,17988,0,,,,,,49,24,
182874,Grand Austria Hotel,2015,67,7.71543,7.96393,25019,0,,,,,,53,,
240980,Blood on the Clocktower,2022,68,7.71506,8.35274,11328,0,,,,,1,52,,
161533,Lisboa,2017,69,7.71022,8.17,12876,0,,,,,,45,,
221107,Pandemic Legacy: Season 2,2017,70,7.68912,8.01226,18286,0,,,,,,56,21,
255984,Sleeping Gods,2021,71,7.68785,8.09128,15858,0,,,,,,,23,
371942,The White Castle,2023,72,7.68616,7.98094,22526,0,,,,,,61,,
126163,Tzolk'in: The Mayan Calendar,2012,73,7.68292,7.8465,42404,0,,,,,,66,,
2651,Power Grid,2004,74,7.68261,7.79923,69492,0,,,,,,73,,
216132,Clans of Caledonia,2017,75,7.67948,7.94553,22780,0,,,,,,59,,
205059,Mansions of Madness: Second Edition,2016,76,7.6788,7.91659,40270,0,,,,,,,29,
380607,Great Western Trail: New Zealand,2023,77,7.67445,8.46217,6884,0,,,,,,36,,
244521,Quacks,2018,78,7.66805,7.80469,58976,0,,,,13,,,,
266810,Paladins of the West Kingdom,2019,79,7.65986,7.95581,20499,0,,,,,,63,,
367966,Endeavor: Deep Sea,2024,80,7.65895,8.22124,9945,0,,,,,,51,,
35677,Le Havre,2008,81,7.65757,7.83482,33885,0,,,,,,70,,
125153,The Gallerist,2015,82,7.6542,8.00151,16486,0,,,,,,57,,
124742,Android: Netrunner,2012,83,7.65283,7.89271,31305,0,,6,,,,,,
200680,Agricola (Revised Edition),2016,84,7.64878,7.95518,21200,0,,,,,,72,,
164153,Star Wars: Imperial Assault,2014,85,7.64796,7.952,25928,0,,,,,,,30,
337627,Voidfall,2023,86,7.64734,8.50874,6896,0,,,,,,44,,
276025,Maracaibo,2019,87,7.63264,7.94201,18654,0,,,,,,68,,
366161,Wingspan Asia,2022,88,7.62849,8.21826,10023,0,,,,,,67,,
322289,Darwin's Journey,2023,89,7.62775,8.09202,12164,0,,,,,,60,,
209010,Mechs vs. Minions,2016,90,7.62427,7.94977,18374,0,,,,,,74,27,
332772,Revive,2022,91,7.62239,8.05964,12748,0,,,,,,64,,
284083,The Crew: The Quest for Planet Nine,2019,92,7.61712,7.75624,48530,0,,,,14,,,,
28143,Race for the Galaxy,2007,93,7.61672,7.73689,58877,0,,,,,,81,,
436217,The Lord of the Rings: Fate of the Fellowship,2025,94,7.6166,8.33188,8615,0,,,,,,,22,
55690,Kingdom Death: Monster,2015,95,7.61618,8.47485,10410,0,,,,,,,19,
157354,Five Tribes: The Djinns of Naqala,2014,96,7.60796,7.76418,45165,0,,,,,,85,,
277659,Final Girl,2021,97,7.60766,8.22545,11155,0,,,,,,,25,
230802,Azul,2017,98,7.60611,7.71569,108051,0,2,,,17,,,,
413246,Bomb Busters,2024,99,7.60293,8.03977,12700,0,,,,12,,,,
201808,Clank!: A Deck-Building Adventure,2016,100,7.59586,7.76137,47365,0,,,,18,,95,,
359871,Arcs,2024,101,7.59413,8.01369,16944,0,,,,,,78,,
93,El Grande,1995,102,7.59218,7.77113,33053,0,,,,,,79,,
159675,Fields of Arle,2014,103,7.59199,8.02253,12402,0,,,,,,71,,
256916,Concordia Venus,2018,104,7.58694,8.25587,7578,0,,,,,,58,,
72125,Eclipse: New Dawn for the Galaxy,2011,105,7.58677,7.81656,29040,0,,,,,,88,,
291453,SCOUT,2019,106,7.58238,7.78971,27893,0,,,,15,,,,
