mechanic,count,percentage
Hand Management,411,41.1
Variable Player Powers,342,34.2
Dice Rolling,298,29.8
Solo / Solitaire Game,280,28.0
Open Drafting,265,26.5
Set Collection,230,23.0
Variable Set-up,186,18.6
Area Majority / Influence,180,18.0
End Game Bonuses,179,17.9
Modular Board,174,17.4
Cooperative Game,169,16.9
Tile Placement,162,16.2
Worker Placement,146,14.6
Action Points,129,12.9
Grid Movement,127,12.7
Scenario / Mission / Campaign Game,114,11.4
"Deck, Bag, and Pool Building",113,11.3
Take That,111,11.1
Income,108,10.8
Contracts,105,10.5
Hexagon Grid,100,10.0
Simultaneous Action Selection,95,9.5
Point to Point Movement,92,9.2
Area Movement,90,9.0
Events,84,8.4
Team-Based Game,80,8.0
Push Your Luck,76,7.6
Network and Route Building,75,7.5
Race,75,7.5
Multi-Use Cards,71,7.1
Tech Trees / Tech Tracks,65,6.5
Auction / Bidding,64,6.4
Tags,64,6.4
Square Grid,63,6.3
Simulation,63,6.3
Turn Order: Progressive,62,6.2
Player Elimination,60,6.0
Role Playing,53,5.3
Market,53,5.3
Storytelling,52,5.2
Pattern Building,52,5.2
Turn Order: Claim Action,50,5.0
Victory Points as a Resource,49,4.9
Track Movement,48,4.8
Card Play Conflict Resolution,48,4.8
Campaign / Battle Card Driven,46,4.6
"Worker Placement, Different Worker Types",44,4.4
Action Queue,43,4.3
Variable Phase Order,42,4.2
Pick-up and Deliver,41,4.1
Ownership,41,4.1
Trading,38,3.8
Movement Points,37,3.7
Die Icon Resolution,37,3.7
Closed Drafting,37,3.7
Narrative Choice / Paragraph,36,3.6
Action Retrieval,35,3.5
Grid Coverage,34,3.4
Line of Sight,33,3.3
Delayed Purchase,33,3.3
Map Addition,33,3.3
Deduction,32,3.2
Turn Order: Stat-Based,32,3.2
Communication Limits,32,3.2
Action Drafting,31,3.1
Increase Value of Unchosen Resources,31,3.1
Worker Placement with Dice Workers,30,3.0
Secret Unit Deployment,30,3.0
Once-Per-Game Abilities,29,2.9
Paper-and-Pencil,29,2.9
Rondel,27,2.7
Memory,27,2.7
Hidden Victory Points,26,2.6
Voting,26,2.6
Connections,25,2.5
Score-and-Reset Game,25,2.5
Sudden Death Ending,25,2.5
Follow,23,2.3
Negotiation,22,2.2
Traitor Game,22,2.2
Enclosure,22,2.2
Layering,21,2.1
Investment,21,2.1
Chaining,20,2.0
Hidden Roles,20,2.0
Move Through Deck,20,2.0
Deck Construction,19,1.9
Betting and Bluffing,19,1.9
Stock Holding,18,1.8
Commodity Speculation,18,1.8
Resource to Move,18,1.8
Real-Time,18,1.8
Automatic Resource Growth,18,1.8
Catch the Leader,17,1.7
Stat Check Resolution,17,1.7
Legacy Game,16,1.6
Bingo,16,1.6
Auction: Dutch,15,1.5
Re-rolling and Locking,15,1.5
Loans,15,1.5
